Country	Location Name	Country
	TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);	
Afghanistan	AFGHANISTAN:  AIKHANUM	Afghanistan
Afghanistan-tajikistan	AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR	Afghanistan-tajikistan
Alabama	ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD	Alabama
Alaska	ALASKA:  KODIAK ISLAND	Alaska
Alaska peninsula	ALASKA PENINSULA: UNGA ISLAND	Alaska peninsula
Albania	ALBANIA:  DYRRACHIUM	Albania
Algeria	ALGERIA:  ALGIERS	Algeria
American samoa	SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO	American samoa
Anatahan region, n. mariana islands	ANATAHAN REGION, N. MARIANA ISLANDS	Anatahan region, n. mariana islands
Antarctica	ANTARCTICA	Antarctica
Antigua	ANTIGUA; SAINT KITTS AND NEVIS	Antigua
Antigua and barbuda	ANTIGUA AND BARBUDA; ST KITTS	Antigua and barbuda
Antigua island &  st. christopher	ANTIGUA ISLAND &  ST. CHRISTOPHER	Antigua island &  st. christopher
Argentina	ARGENTINA:  SANTIAGO, ESTECO, RIO DE LAS PIEDRAS	Argentina
Arkansas	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	Arkansas
Armenia	ARMENIA:  BAYOTSDZOR	Armenia
Armenia-azerbaijan-iran	ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI	Armenia-azerbaijan-iran
Asia	SYRIA;  ISRAEL; ASIA	Asia
Atlantic ocean	ATLANTIC OCEAN:  NORTHERN	Atlantic ocean
Australia	AUSTRALIA:  TASMANIA: CIRCULAR HEAD	Australia
Austria	AUSTRIA:VILLACH; ITALY:VENETO; SLOVENIA:CELOVAC	Austria
Azerbaijan	AZERBAIJAN	Azerbaijan
Azores	AZORES:  SAO MIGUEL ISLAND	Azores
Balkans	BALKANS:  NW:  POPOVIC	Balkans
Balkans nw	BALKANS NW:  MACEDONIA:  STOBI	Balkans nw
Balleny islands	BALLENY ISLANDS	Balleny islands
Bangladesh	BANGLADESH:  CHITTAGONG, DACCA, ARRACAN	Bangladesh
Barbados, saint vincent, dominica, antigua	BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA	Barbados, saint vincent, dominica, antigua
Belgium	BELGIUM	Belgium
Belize	HONDURAS:  NORTHERN; BELIZE	Belize
Benin	TOGO:  AGUNAH, KANA; BENIN:  ABOMEY	Benin
Bering sea	BERING SEA	Bering sea
Bhutan	BHUTAN:  PHUENTSHOLING	Bhutan
Bolivia	BOLIVIA: LA PAZ	Bolivia
Bolivia-northern chile	BOLIVIA-NORTHERN CHILE	Bolivia-northern chile
Bolivia-peru	BOLIVIA-PERU: AREQUIPA, FELT IN N AND S AMERICA	Bolivia-peru
