,Location Name
JORDAN,"JORDAN:  BAB-A-DARAA,AL-KARAK"
SYRIA,SYRIA:  UGARIT
TURKMENISTAN,TURKMENISTAN:  W
GREECE,GREECE:  THERA ISLAND (SANTORINI)
ISRAEL,ISRAEL:  ARIHA (JERICHO)
ITALY,ITALY:  LACUS CIMINI
SYRIAN COASTS,SYRIAN COASTS
LEBANON,LEBANON:  SUR (TYRE)
IRAN,"IRAN:  REY,EIVAN-E-KAY"
INDIA,INDIA:  KUTCH
TURKEY,TURKEY:  LYSIMACHIA
KYRGYZSTAN,KYRGYZSTAN:  CHIGUCHIN
SPAIN,SPAIN:  CADIZ
EGYPT,EGYPT:  SIWA OASIS; LIBYA
LIBYA,EGYPT:  SIWA OASIS; LIBYA
PORTUGAL,PORTUGAL:  CABO SAN VICENTE
EAST MEDITERRANEAN SEA,EAST MEDITERRANEAN SEA
CHINA,CHINA:  GANSU PROVINCE:  LINTAO
RUSSIA,RUSSIA:  PANTIKAPEY
ALBANIA,ALBANIA:  DYRRACHIUM
GEORGIA,GEORGIA:  DYOSCURIA [SUKHUMI]
BULGARIA,"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]"
CYPRUS,CYPRUS
PAKISTAN,PAKISTAN
SOUTH KOREA,SOUTH KOREA:  KWANGJU
AFGHANISTAN,AFGHANISTAN:  AIKHANUM
UKRAINE,UKRAINE:  BLACK SEA
GREECE-TURKEY,"GREECE-TURKEY:  VITINIA,HELLESPONT"
CYPRUS (SALAMIS),TURKEY: ANTAKYA (ANTIOCH); CYPRUS (SALAMIS)
BALKANS NW,BALKANS NW:  MACEDONIA:  STOBI
TUNISIA,TUNISIA:  UTIQUE
AZERBAIJAN,AZERBAIJAN
INSTANBUL (CONSTANTINOPLE),INSTANBUL (CONSTANTINOPLE)
THAILAND,THAILAND:  YONOK-NAGABANDHU
FRANCE,"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ"
