Time,CH4
1987-02-01,1806.0676
1987-03-01,1783.0419
1987-04-01,1768.4604
1987-05-01,1763.5063
1987-06-01,1733.855
1987-07-01,1724.064
1987-08-01,1725.6116
1987-09-01,1755.7948
1987-10-01,1790.7241
1987-11-01,1762.5006
1987-12-01,1759.0087
1988-01-01,1795.6105
1988-02-01,1796.2106
1988-03-01,1796.341
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,1764.3818
1988-10-01,1765.1191
1988-11-01,1828.6932
1988-12-01,1798.4219
1989-01-01,1808.9861
1989-02-01,1813.4109
1989-03-01,1808.1085
1989-04-01,1834.1477
1989-05-01,1805.6041
1989-06-01,1806.9653
1989-07-01,1803.1917
1989-08-01,
1989-09-01,1789.2521
1989-10-01,1771.0992
1989-11-01,1756.328
1989-12-01,1775.0869
1990-01-01,1775.0974
1990-02-01,1769.4135
1990-03-01,1801.3467
1990-04-01,1796.5103
1990-05-01,1783.479
1990-06-01,1777.2614
1990-07-01,1767.6775
1990-08-01,1774.3273
1990-09-01,1809.4841
1990-10-01,1814.8369
1990-11-01,1827.4836
1990-12-01,
1991-01-01,1814.3846
1991-02-01,1832.6234
1991-03-01,1815.6693
1991-04-01,1801.4236
1991-05-01,1791.9752
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,1817.2097
1991-10-01,1821.0024
1991-11-01,1834.4515
1991-12-01,1796.6638
1992-01-01,1819.3961
1992-02-01,1785.7554
1992-03-01,1785.3752
1992-04-01,1818.4825
1992-05-01,1812.4991
1992-06-01,1801.0916
1992-07-01,1788.9652
1992-08-01,1796.4824
1992-09-01,1805.3173
1992-10-01,1811.6497
1992-11-01,1803.7468
1992-12-01,1810.6763
1993-01-01,1812.871
1993-02-01,
1993-03-01,1818.3956
1993-04-01,1814.4086
1993-05-01,1821.5281
1993-06-01,1794.1238
1993-07-01,1789.0386
1993-08-01,1799.568
1993-09-01,1823.2693
1993-10-01,1855.7466
1993-11-01,1825.7606
1993-12-01,1824.2517
1994-01-01,1830.8378
1994-02-01,1824.6984
1994-03-01,1813.6517
1994-04-01,1818.8214
1994-05-01,1815.504
1994-06-01,1802.9891
1994-07-01,1799.5144
1994-08-01,1801.1938
1994-09-01,1810.118
1994-10-01,1826.3682
1994-11-01,1821.4155
1994-12-01,1822.2137
1995-01-01,1820.3665
1995-02-01,1824.3035
1995-03-01,1828.9766
1995-04-01,1829.6473
1995-05-01,1821.7556
1995-06-01,1805.7986
1995-07-01,1803.2401
1995-08-01,1807.3728
1995-09-01,1820.0043
1995-10-01,1822.5105
1995-11-01,1834.7229
1995-12-01,1844.1481
1996-01-01,1835.9355
1996-02-01,1834.3682
1996-03-01,1826.8894
1996-04-01,1830.5422
1996-05-01,1832.3092
1996-06-01,1814.1284
1996-07-01,1799.1267
1996-08-01,1815.7041
1996-09-01,1819.7844
1996-10-01,1824.8683
1996-11-01,1832.4296
1996-12-01,1845.2151
1997-01-01,1848.1763
1997-02-01,1831.2264
1997-03-01,1829.0957
1997-04-01,1824.4244
1997-05-01,1835.6017
1997-06-01,1825.2255
1997-07-01,1802.2548
1997-08-01,1810.1078
1997-09-01,1809.2504
1997-10-01,1816.476
1997-11-01,1831.3317
1997-12-01,1834.1847
1998-01-01,1834.4674
1998-02-01,1832.7698
1998-03-01,1830.7032
1998-04-01,1842.4824
1998-05-01,1832.2922
1998-06-01,1818.7764
1998-07-01,1815.723
