	Location Name
Calabria	ITALY:  SICILY:  SIRACUSA (SYRACUSE); CALABRIA
Near Istanbul	TURKEY:  ROSANNA; NEAR ISTANBUL
Saint Kitts And Nevis	ANTIGUA; SAINT KITTS AND NEVIS
Veracruz	MEXICO: OAXACA; VERACRUZ
Crete	GREECE: DODECANESE; CRETE; CYPRUS; EGYPT
Czechoslovakia	HUNGARY:  GYOR; CZECHOSLOVAKIA:  KOMAROM
Benin	TOGO:  AGUNAH, KANA; BENIN:  ABOMEY
Antigua Island &  St. Christopher	ANTIGUA ISLAND &  ST. CHRISTOPHER
Moldova	ROMANIA; MOLDOVA
	TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);
Castries	MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE; CASTRIES
St Thomas	PUERTO RICO:  SAN JUAN; ST THOMAS
Sumatra	INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG
N Mindoro	PHILIPPINES:  S LUZON:  MANILA; N MINDORO
Somaki	ARMENIA; AZERBAIJAN:  SEMACHA; SOMAKI
Ohio	MICHIGAN; OHIO; INDIANA
Indiana	MICHIGAN; OHIO; INDIANA
Suriname	BRAZIL; FRENCH GUIANA; SURINAME; GUYANA
Guyana	BRAZIL; FRENCH GUIANA; SURINAME; GUYANA
Usa	MEXICO: BAJA CALIFORNIA; USA: CALIFORNIA: SAN DIEGO
St Kitts	GUADELOUPE; ANTIGUA; ST KITTS
N Iran	AZERBAIJAN:  SEMACHA; N IRAN
Canary I	MOROCCO:  MELILLA; CANARY I:  PENON DE LA GOMERA
Tibet (Xizang Province)	NEPAL; TIBET (XIZANG PROVINCE)
Mactan I	PHILIPPINES:  CEBU I:  CEBU; MACTAN I
Lower Egypt	GREECE:  RHODES ISLAND; LOWER EGYPT
Maine	NEW HAMPSHIRE; MAINE
Dr Congo	UGANDA: KICHWAMBA, BONDIBOGYO;  TANZANIA;  DR CONGO
Tablas I	PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN
San Cristobal, Venezuela	COLOMBIA; SAN CRISTOBAL, VENEZUELA
Canakkale, Eceabat, Gelibolu, Lapseki	TURKEY:  W; CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI
N Guatemala	HONDURAS;  N GUATEMALA:  IZABEL PROVINCE
American Samoa	SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO
Croatia	BOSNIA-HERZEGOVINA:  LJUBINJE; CROATIA:  DUBROVNIK
Datong	CHINA:  SHANXI AND HEBEI PROVINCES; DATONG
S Island	NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH
Niue	SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE
Michoacan	MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO
Swaziland	SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI
Sichuan	CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN
Macedonia	BALKANS NW:  KOSOVO; MACEDONIA:  N
Belize	HONDURAS:  NORTHERN; BELIZE
Mexico City	MEXICO:  GUERRERO; MEXICO CITY
Zimbabwe	MOZAMBIQUE; ZIMBABWE
Tojikobod	TAJIKISTAN: RASHT; TOJIKOBOD
West Azerbaijan	IRAN:  KHOY; WEST AZERBAIJAN
